Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Alt Text,SEO Title,SEO Description,Status
exoboost,Exoboost,"<p>The activating first step in SkinClinic's regenerative routine. This concentrated serum combines exosome technology and PDRN with hydrating and barrier-supportive ingredients to support recovery and a revitalised appearance.</p><p><strong>Ingredient highlights:</strong> Exocell-Longevity®, squalane, Cutiguard CLR™, Epitensive™, Shonai Bijin™ and hyaluronic acid.</p><p><strong>How to use:</strong> Apply to clean, dry skin morning and/or evening. Follow with Exoday Cream or Exonight Cream.</p>",SkinClinic,"Health & Beauty > Personal Care > Cosmetics > Skin Care",Face Serum,"SkinClinic, Exosomes, PDRN, Regenerative Care, Advanced Care",FALSE,Size,30 ml,,TRUE,TRUE,https://skinclinic.es/1083-large_default/exoboost.jpg,SkinClinic Exoboost 30 ml exosome serum,Exoboost Exosome and PDRN Serum 30 ml | C-Aesthetics,SkinClinic activating serum with exosome technology PDRN and hyaluronic acid for an advanced regenerative skincare routine.,draft
exoday-cream,Exoday Cream,"<p>The daytime moisturising step in SkinClinic's exosome-led routine. It supports ongoing renewal while helping defend the complexion against daily environmental stress.</p><p><strong>Ingredient highlights:</strong> Exocell-Longevity®, squalene, Cutiguard CLR™, grape-seed oil, shea butter, Matrixyl® Synthe'6™, Epitensive™ and Shonai Bijin™.</p><p><strong>How to use:</strong> Apply each morning after Exoboost, then finish with broad-spectrum sunscreen.</p>",SkinClinic,"Health & Beauty > Personal Care > Cosmetics > Skin Care",Day Cream,"SkinClinic, Exosomes, Day Cream, Barrier Support, Peptides, Advanced Care",FALSE,Size,50 ml,,TRUE,TRUE,https://skinclinic.es/1084-large_default/exoday-cream.jpg,SkinClinic Exoday Cream 50 ml,Exoday Exosome Day Cream 50 ml | C-Aesthetics,SkinClinic daytime exosome moisturiser with peptides and nourishing lipids for balanced resilient-looking skin.,draft
exonight-cream,Exonight Cream,"<p>The overnight moisturising step in SkinClinic's exosome-led routine. It pairs exosome technology with peptides, circadian-supportive actives and nourishing botanical lipids.</p><p><strong>Ingredient highlights:</strong> Exocell-Longevity®, Cutiguard CLR™, Matrixyl® Synthe'6™, Epitensive™, Circanblue™, sweet almond oil, moringa butter and avocado oil.</p><p><strong>How to use:</strong> Apply in the evening to clean skin after Exoboost and massage gently until absorbed.</p>",SkinClinic,"Health & Beauty > Personal Care > Cosmetics > Skin Care",Night Cream,"SkinClinic, Exosomes, Night Cream, Regenerative Care, Peptides, Advanced Care",FALSE,Size,50 ml,,TRUE,TRUE,https://skinclinic.es/1085-large_default/exonight.jpg,SkinClinic Exonight Cream 50 ml,Exonight Exosome Night Cream 50 ml | C-Aesthetics,SkinClinic overnight exosome moisturiser with peptides and nourishing botanical lipids for smoother rested-looking skin.,draft
micellar-cloud,Micellar Cloud,"<p>A soft foaming cleanser that removes daily impurities, excess sebum and makeup while respecting the skin barrier. Mild micellar cleansing agents pair with moisturising ingredients and soothing botanical extracts.</p><p><strong>Ingredient highlights:</strong> Pentavitin®, moisturising sugar complex, betaine, cucumber extract and chamomile extract.</p><p><strong>How to use:</strong> Massage onto damp skin morning and evening, then rinse thoroughly.</p>",SkinClinic,"Health & Beauty > Personal Care > Cosmetics > Skin Care",Facial Cleanser,"SkinClinic, Cleanser, Micellar, Hydrating, Barrier Support, Home Care",FALSE,Size,150 ml,,TRUE,TRUE,https://skinclinic.es/1104-large_default/micellar-cloud.jpg,SkinClinic Micellar Cloud 150 ml cleanser,Micellar Cloud Hydrating Cleanser 150 ml | C-Aesthetics,Gentle SkinClinic micellar foaming cleanser that removes impurities and makeup while supporting hydration and skin-barrier comfort.,draft
melanyc,Melanyc,"<p>Intensive evening care for skin affected by visible dark spots and uneven tone. A multi-acid and brightening complex helps refine the look of discolouration and promote a more even, luminous complexion.</p><p><strong>Ingredient highlights:</strong> Kojic acid, phytic acid, vitamin C, glycolic acid, arbutin, niacinamide, liquorice extract and Chromabright®.</p><p><strong>How to use:</strong> Apply in the evening according to the approved label. Introduce gradually and use broad-spectrum sunscreen every morning.</p>",SkinClinic,"Health & Beauty > Personal Care > Cosmetics > Skin Care",Night Cream,"SkinClinic, Pigmentation, Dark Spots, Uneven Tone, Night Care, Home Care",FALSE,Size,50 ml,,TRUE,TRUE,https://drive.usercontent.google.com/download?id=1iuYXx3LP-5y_N2I6y7bWHp8HpSlIO4DS&export=download,SkinClinic Melanyc 50 ml cream,Melanyc Pigmentation Night Cream 50 ml | C-Aesthetics,Intensive SkinClinic night care for visible dark spots and uneven-looking tone. Discover Melanyc at C-Aesthetics Singapore.,draft
melanyc-daily,Melanyc Daily,"<p>Daily-use cream for maintaining a clearer, more even-looking complexion. Its targeted brightening blend supports everyday radiance and is the gentler maintenance partner within the Melanyc routine.</p><p><strong>Ingredient highlights:</strong> Kojic acid, hexylresorcinol, phytic acid, glycolic acid, arbutin, niacinamide, liquorice extract and Chromabright®.</p><p><strong>How to use:</strong> Apply as directed to clean, dry skin. Follow with broad-spectrum sunscreen during the day.</p>",SkinClinic,"Health & Beauty > Personal Care > Cosmetics > Skin Care",Face Cream,"SkinClinic, Pigmentation, Uneven Tone, Daily Care, Home Care",FALSE,Size,50 ml,,TRUE,TRUE,https://drive.usercontent.google.com/download?id=1BBs6zfAfCdqa1xuhWVnzzUPY570sHlB4&export=download,SkinClinic Melanyc Daily 50 ml cream,Melanyc Daily Tone Care 50 ml | C-Aesthetics,Daily SkinClinic maintenance care for uneven-looking tone and visible dark spots. Shop Melanyc Daily at C-Aesthetics Singapore.,draft
melanyc-serum,Melanyc Serum,"<p>A lightweight concentrated treatment for visible dark spots, uneven tone and dullness. Tone-correcting ingredients combine with antioxidant care to support a brighter, more uniform appearance.</p><p><strong>Ingredient highlights:</strong> Hexylresorcinol, arbutin, tranexamic acid, ferulic acid, niacinamide and liquorice extract.</p><p><strong>How to use:</strong> Apply a few drops as directed, then moisturise. Use broad-spectrum sunscreen every morning.</p>",SkinClinic,"Health & Beauty > Personal Care > Cosmetics > Skin Care",Face Serum,"SkinClinic, Pigmentation, Dark Spots, Serum, Antioxidant, Home Care",FALSE,Size,30 ml,,TRUE,TRUE,https://drive.usercontent.google.com/download?id=1uI1cin6y2AHXzpEYXnex2Mv2C1k2rVNb&export=download,SkinClinic Melanyc Serum 30 ml,Melanyc Serum for Uneven Tone 30 ml | C-Aesthetics,SkinClinic serum for visible dark spots uneven tone and dullness with tranexamic acid niacinamide and ferulic acid.,draft
melanyc-pro,Melanyc Pro,"<p>Advanced multi-pathway care for the appearance of persistent discolouration. Its targeted complex is paired with ectoin to support skin comfort within an intensive routine.</p><p><strong>Ingredient highlights:</strong> ASP, arbutin, hexylresorcinol, Chromabright® and ectoin.</p><p><strong>How to use:</strong> Use only as directed on the approved label or by a qualified skincare professional. Daily broad-spectrum sunscreen is essential.</p>",SkinClinic,"Health & Beauty > Personal Care > Cosmetics > Skin Care",Professional Skin Care,"SkinClinic, Pigmentation, Advanced Care, Professional Recommended",FALSE,Size,50 ml,,TRUE,TRUE,https://drive.usercontent.google.com/download?id=1WEew-EuPDHzfQlkMq-dfy4IbYw-RC6hz&export=download,SkinClinic Melanyc Pro 50 ml cream,Melanyc Pro Advanced Pigmentation Care | C-Aesthetics,Advanced multi-pathway SkinClinic care for persistent uneven-looking pigmentation. Best selected with professional guidance.,draft
rosanic-cream,Rosanic Cream,"<p>A comforting moisturiser for sensitive skin prone to visible flushing and redness. Nourishing oils, aloe and botanicals help soften skin, reinforce comfort and reduce the look of reactivity.</p><p><strong>Ingredient highlights:</strong> Moringa butter, sweet almond, wheat germ and avocado oils, arnica, ruscus, calendula, bilberry and aloe vera.</p><p><strong>How to use:</strong> Apply morning and/or evening as directed. Patch test first if highly reactive.</p>",SkinClinic,"Health & Beauty > Personal Care > Cosmetics > Skin Care",Face Cream,"SkinClinic, Sensitive Skin, Redness Prone, Moisturiser, Home Care",FALSE,Size,50 ml,,TRUE,TRUE,https://drive.usercontent.google.com/download?id=1ZLjyR3O_U-1bhoKQFctfSjv2M-xM20y0&export=download,SkinClinic Rosanic Cream 50 ml,Rosanic Cream for Redness-Prone Skin | C-Aesthetics,Comforting SkinClinic moisturiser for sensitive redness-prone skin with nourishing oils aloe and soothing botanicals.,draft
ferulast,Ferulast,"<p>An antioxidant serum pairing ferulic acid and astaxanthin with vitamins C and E. Hyaluronic acid adds hydration for skin affected by visible dullness and environmental stress.</p><p><strong>Ingredient highlights:</strong> Ferulic acid, astaxanthin, low-molecular-weight hyaluronic acid, vitamin C and vitamin E.</p><p><strong>How to use:</strong> Apply a few drops as directed, then moisturise. Finish daytime routines with broad-spectrum sunscreen.</p>",SkinClinic,"Health & Beauty > Personal Care > Cosmetics > Skin Care",Face Serum,"SkinClinic, Antioxidant, Vitamin C, Hyaluronic Acid, Radiance, Home Care",FALSE,Size,30 ml,,TRUE,TRUE,https://drive.usercontent.google.com/download?id=1a-mZaF1yS30KiAyGYD6U65LekixZ8oqe&export=download,SkinClinic Ferulast 30 ml antioxidant serum,Ferulast Antioxidant Serum 30 ml | C-Aesthetics,SkinClinic antioxidant serum with ferulic acid astaxanthin vitamins C and E plus hyaluronic acid for hydration and radiance.,draft
