Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Weight Unit,Status
gentle-renewing-cleanser,Gentle Renewing Cleanser,<p>A sulfate-free daily cleanser that removes impurities and makeup without stripping the skin barrier. Formulated with amino-acid surfactants and panthenol.</p>,C-Aesthetics,Facial Care,"facial-care,best-sellers,cleanser",TRUE,Title,Default Title,CA-FC-001,150,shopify,100,deny,manual,24.00,,TRUE,TRUE,,,,,FALSE,Gentle Renewing Cleanser | C-Aesthetics,A sulfate-free daily cleanser that removes impurities and makeup without stripping the skin barrier. Formulated with amino-acid surfactants and panthe,g,active
vitamin-c-brightening-serum,Vitamin C Brightening Serum,"<p>A stabilized 15% vitamin C serum that targets dullness and uneven tone, with vitamin E and ferulic acid for antioxidant support.</p>",C-Aesthetics,Facial Care,"facial-care,best-sellers,serum",TRUE,Title,Default Title,CA-FC-002,150,shopify,100,deny,manual,48.00,,TRUE,TRUE,,,,,FALSE,Vitamin C Brightening Serum | C-Aesthetics,"A stabilized 15% vitamin C serum that targets dullness and uneven tone, with vitamin E and ferulic acid for antioxidant support.",g,active
hydrating-barrier-cream,Hydrating Barrier Cream,"<p>A ceramide-rich moisturizer that restores the skin barrier and locks in hydration for 24 hours, suitable for sensitive skin.</p>",C-Aesthetics,Facial Care,"facial-care,moisturizer",TRUE,Title,Default Title,CA-FC-003,150,shopify,100,deny,manual,38.00,,TRUE,TRUE,,,,,FALSE,Hydrating Barrier Cream | C-Aesthetics,"A ceramide-rich moisturizer that restores the skin barrier and locks in hydration for 24 hours, suitable for sensitive skin.",g,active
firming-body-lotion,Firming Body Lotion,<p>A fast-absorbing body lotion with caffeine and shea butter that visibly firms and hydrates from neck to toe.</p>,C-Aesthetics,Body Care,"body-care,lotion",TRUE,Title,Default Title,CA-BC-001,150,shopify,100,deny,manual,32.00,,TRUE,TRUE,,,,,FALSE,Firming Body Lotion | C-Aesthetics,A fast-absorbing body lotion with caffeine and shea butter that visibly firms and hydrates from neck to toe.,g,active
exfoliating-body-polish,Exfoliating Body Polish,"<p>A fine sugar-and-oil polish that gently buffs away dry, dull skin and leaves skin soft without over-exfoliating.</p>",C-Aesthetics,Body Care,"body-care,exfoliant",TRUE,Title,Default Title,CA-BC-002,150,shopify,100,deny,manual,28.00,,TRUE,TRUE,,,,,FALSE,Exfoliating Body Polish | C-Aesthetics,"A fine sugar-and-oil polish that gently buffs away dry, dull skin and leaves skin soft without over-exfoliating.",g,active
c-vital-complex-night-cream,C-VITAL Complex Night Cream,"<p>Our flagship overnight cream, built around the C-VITAL Complex™ — a biomimetic peptide and antioxidant blend that supports the skin barrier and visibly softens fine lines while you sleep.</p>",C-Aesthetics,Anti-Aging,"anti-aging,best-sellers,night-cream",TRUE,Title,Default Title,CA-AA-001,150,shopify,75,deny,manual,68.00,,TRUE,TRUE,,,,,FALSE,C-VITAL Complex Night Cream | C-Aesthetics,"Our flagship overnight cream, built around the C-VITAL Complex™ — a biomimetic peptide and antioxidant blend that supports the skin barrier and visibl",g,active
retinol-renewal-ampoules,Retinol Renewal Ampoules (7-Day Set),<p>A seven-day introductory course of encapsulated retinol ampoules designed to improve texture and tone with minimal irritation.</p>,C-Aesthetics,Anti-Aging,"anti-aging,ampoules",TRUE,Title,Default Title,CA-AA-002,150,shopify,75,deny,manual,58.00,,TRUE,TRUE,,,,,FALSE,Retinol Renewal Ampoules (7-Day Set) | C-Aesthetics,A seven-day introductory course of encapsulated retinol ampoules designed to improve texture and tone with minimal irritation.,g,active
peptide-eye-cream,Peptide Eye Cream,<p>A lightweight eye cream with a multi-peptide complex and caffeine to target puffiness and the appearance of fine lines.</p>,C-Aesthetics,Anti-Aging,"anti-aging,eye-care",TRUE,Title,Default Title,CA-AA-003,150,shopify,75,deny,manual,42.00,,TRUE,TRUE,,,,,FALSE,Peptide Eye Cream | C-Aesthetics,A lightweight eye cream with a multi-peptide complex and caffeine to target puffiness and the appearance of fine lines.,g,active
collagen-beauty-capsules,Collagen Beauty Capsules,"<p>A daily hydrolyzed collagen supplement with biotin and vitamin C to support skin, hair, and nail health from within.</p>",C-Aesthetics,Supplements,"supplements,best-sellers",TRUE,Title,Default Title,CA-SP-001,150,shopify,100,deny,manual,36.00,,TRUE,TRUE,,,,,FALSE,Collagen Beauty Capsules | C-Aesthetics,"A daily hydrolyzed collagen supplement with biotin and vitamin C to support skin, hair, and nail health from within.",g,active
skin-radiance-antioxidant-blend,Skin Radiance Antioxidant Blend,<p>A daily supplement combining astaxanthin and vitamin E to support skin resilience against everyday environmental stress.</p>,C-Aesthetics,Supplements,supplements,TRUE,Title,Default Title,CA-SP-002,150,shopify,100,deny,manual,32.00,,TRUE,TRUE,,,,,FALSE,Skin Radiance Antioxidant Blend | C-Aesthetics,A daily supplement combining astaxanthin and vitamin E to support skin resilience against everyday environmental stress.,g,active
